fecha,imagen,nombre,precio
2023-03-30 16:08:34,,,
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/61JNPqSDvdS._AC_UY218_.jpg,Davines Champú - 280 ml,"20,90 €"
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/71XAYvBZTkL._AC_UY218_.jpg,Davines Heart Of Glass Silkening Champu 250 Ml,"18,99 €"
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/61R0Gfz7SoL._AC_UY218_.jpg,Davines Champú Love Smoothing - 250 ml,"19,88 €"
2023-03-30 16:08:34,,Charlemagne Spray de Sal Marina para el Cabello - Spray de Agua Salada - Sea Salt Spray hair Men - Spray de Volumen Textura para el Cabello - Spray de Agua Salada Mate - Spray Ondas de Playa,
2023-03-30 16:08:34,,,
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/71hXwUbVknL._AC_UY218_.jpg,Davines love lovely curl enchancing shampoo (for wavy or curly hair) 2.,"20,70 €"
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/71kMQxQ4VHL._AC_UY218_.jpg,Davines Naturaltech Replumping Champú 250 ml,"19,89 €"
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/614MHILl3bL._AC_UY218_.jpg,"Davines Volu - Champú, 250 ml","18,80 €"
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/71eQCAdLgUL._AC_UY218_.jpg,Davines Oi OIL Absolute Beautifying Potion 135 ml,"41,40 €"
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/61VFtW881fL._AC_UY218_.jpg,"Davines Momo - Champú, 250 ml (881-42109)","18,80 €"
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/51tqI4Llw6L._AC_UY218_.jpg,"Davines Minu - Champú, 250 ml","18,80 €"
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/81rSIbr2v9L._AC_UY218_.jpg,"Davines 69230 - Champú, 250 ml","21,40 €"
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/41cxszUCo6L._AC_UY218_.jpg,Davines LOVE CURL Conditioner 250ml - Acondicionador elastificante y controlador para cabello ondulado o rizado - New Pak 2022,"21,79 €"
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/71wmKzvGLML._AC_UY218_.jpg,Davines naturaltech shampoing energizing 250ml.,"21,40 €"
2023-03-30 16:08:34,https://m.media-amazon.com/images/I/51B+6TcPl0L._AC_UY218_.jpg,davines nourishing naturaltech shampoo 250 ml,"19,78 €"
