fecha,imagen,nombre,distribuidor,precio
14-04-2023,https://m.media-amazon.com/images/I/71kMQxQ4VHL._AC_UY218_.jpg,davines naturaltech replumping champú 250 ml,Hairlowers,"22,00 €"
14-04-2023,https://m.media-amazon.com/images/I/71ONvn43fDL._AC_UY218_.jpg,davines naturaltech replumping acondicionador 150 ml,Hairlowers,"20,90 €"
14-04-2023,https://m.media-amazon.com/images/I/71XAYvBZTkL._AC_UY218_.jpg,davines heart of glass silkening champu 250 ml,Hairlowers,"19,90 €"
14-04-2023,https://m.media-amazon.com/images/I/61R0Gfz7SoL._AC_UY218_.jpg,davines champú love smoothing - 250 ml,Hairlowers,"19,15 €"
14-04-2023,https://m.media-amazon.com/images/I/61VFtW881fL._AC_UY218_.jpg,"davines momo - champú, 250 ml (881-42109)",Hairlowers,"22,00 €"
14-04-2023,https://m.media-amazon.com/images/I/51tqI4Llw6L._AC_UY218_.jpg,"davines minu - champú, 250 ml",Hairlowers,"19,00 €"
14-04-2023,https://m.media-amazon.com/images/I/71eQCAdLgUL._AC_UY218_.jpg,davines oi oil absolute beautifying potion 135 ml,Hairlowers,"36,90 €"
14-04-2023,https://m.media-amazon.com/images/I/7101O1RUYlL._AC_UY218_.jpg,davines essential champú dede 295000 g,Hairlowers,"19,60 €"
14-04-2023,https://m.media-amazon.com/images/I/710Mkvp7dwL._AC_UY218_.jpg,davines naturaltech nourishing champú 250 ml,Hairlowers,"21,20 €"
14-04-2023,https://m.media-amazon.com/images/I/617hFXLgy1L._AC_UY218_.jpg,davines essential melu shampoo 250 ml,Hairlowers,"19,00 €"
14-04-2023,https://m.media-amazon.com/images/I/61L3TxAWYWL._AC_UY218_.jpg,davines naturaltech calming shampoo 250ml,Hairlowers,"19,75 €"
14-04-2023,https://m.media-amazon.com/images/I/61BE+HkCXLL._AC_UY218_.jpg,davines heart of glass sheer glaze 150 ml,Hairlowers,"24,00 €"
14-04-2023,https://m.media-amazon.com/images/I/31kv43SNoPL._AC_UY218_.jpg,davines solu/champú all hair types 250 ml,Hairlowers,"20,00 €"
14-04-2023,https://m.media-amazon.com/images/I/71aMsFzcohL._AC_UY218_.jpg,"davines natural tech energizing gel (for scalp & fragile, thinning hai.",Hairlowers,"29,00 €"
14-04-2023,https://m.media-amazon.com/images/I/61v-76U3i+L._AC_UY218_.jpg,natural tech nutritivo reparador milagro reparador sérum (para cabello extremadamente dañado),Hairlowers,"79,78 €"
14-04-2023,https://m.media-amazon.com/images/I/61v4ss6INzL._AC_UY218_.jpg,"sebastian professional dark oil | mascarilla capilar | hidrata y suaviza | aporta cuerpo | para todo tipo de cabello, 150 ml",Hairlowers,"23,50 €"
14-04-2023,https://m.media-amazon.com/images/I/41xTwkL7uTL._AC_UY218_.jpg,"l'oreal professionnel tna spray pli, 190 ml",Hairlowers,"18,00 €"
14-04-2023,https://m.media-amazon.com/images/I/61V7aBeAwJL._AC_UY218_.jpg,redken brews maneuver - cera para fijar el cabello con acabado mate,Hairlowers,"17,00 €"
14-04-2023,https://m.media-amazon.com/images/I/71RjVAaX4BL._AC_UY218_.jpg,"redken | mascarilla reparadora con proteínas para cabello dañado, extreme strength builder plus, formato 250 ml",Hairlowers,"26,44 €"
14-04-2023,https://m.media-amazon.com/images/I/31tnJJFwJqL._AC_UY218_.jpg,living proof - desencrespador instantáneo (176 ml),Hairlowers,"28,50 €"
14-04-2023,https://m.media-amazon.com/images/I/61eKOupgl4L._AC_UY218_.jpg,kerastase blond lumiere,Hairlowers,"23,90 €"
