fecha,imagen,nombre,distribuidor,precio,ASIN,EAN
18-04-2023,https://m.media-amazon.com/images/I/41MnXkzjmIL.__AC_SX300_SY300_QL70_ML2_.jpg,davines ntech champú well-being 200 g,KappyLook,22.5,B0073FV5RM,
18-04-2023,https://m.media-amazon.com/images/I/31taiu2x9cL._SY445_SX342_QL70_ML2_.jpg,davines love curl revitalizer - 250 ml,KappyLook,26.0,B073SX8CPX,8004608257196
18-04-2023,https://m.media-amazon.com/images/I/31jG15i9ZWL._SY445_SX342_QL70_ML2_.jpg,davines naturaltech energizing superactive 100ml.,KappyLook,79.0,B071SM2VL3,8004608255567
18-04-2023,https://m.media-amazon.com/images/I/41q+Aqc3EcL._SX342_SY445_.jpg,davines naturaltech calming shampoo 1000 ml - 100 ml,KappyLook,54.25,B074SHC7XG,8004608256649
18-04-2023,https://m.media-amazon.com/images/I/71DJ2jgV7XL.__AC_SX300_SY300_QL70_ML2_.jpg,davines more inside texturizing dust 8gr (12085),KappyLook,28.0,B00M4DCQ6M,
18-04-2023,https://m.media-amazon.com/images/I/31qD6-tNBSL._SY445_SX342_QL70_ML2_.jpg,davines ntech champú regulador 154000 g,KappyLook,54.25,B0073FUCQC,
18-04-2023,https://m.media-amazon.com/images/I/71BBkSF179L.__AC_SX300_SY300_QL70_ML2_.jpg,davines serum para el cabello - 150 ml,KappyLook,25.0,B00OKNJQU8,8004608242666
18-04-2023,https://m.media-amazon.com/images/I/21tWcFlKi7L._SY445_SX342_QL70_ML2_.jpg,"davines 75098-d melu champú, 1000 ml",KappyLook,53.0,B006IUYSZO,
18-04-2023,https://m.media-amazon.com/images/I/4106nl5FlPL._AC_SY355_.jpg,davines naturaltech purifying shampoo - 1000 ml,KappyLook,54.25,B0073FOZHY,
18-04-2023,https://m.media-amazon.com/images/I/617hFXLgy1L.__AC_SX300_SY300_QL70_ML2_.jpg,davines essential melu shampoo 250 ml,KappyLook,20.0,B00OOUSJ0A,8004608246206
18-04-2023,https://m.media-amazon.com/images/I/41cIT61V-YL._SX342_SY445_QL70_ML2_.jpg,davines more inside sea salt spray - 250 ml,KappyLook,24.25,B00GB8IA5C,8004608258346
18-04-2023,https://m.media-amazon.com/images/I/71eFvoUytHL.__AC_SY300_SX300_QL70_ML2_.jpg,"davines minu - acondicionador, 250 ml",KappyLook,22.25,B00OKMT1OA,
